date,index,nav,outstanding
"Apr 02, 2018",5057.69,259.29,529150000.00
"Mar 29, 2018",5173.19,265.21,528900000.00
"Mar 28, 2018",5102.69,261.60,529150000.00
"Mar 27, 2018",5116.75,262.32,528150000.00
"Mar 26, 2018",5206.69,266.93,528800000.00
"Mar 23, 2018",5069.03,259.87,528700000.00
"Mar 22, 2018",5177.52,265.43,546850000.00
"Mar 21, 2018",5310.96,273.54,546650000.00
"Mar 20, 2018",5320.20,274.01,561250000.00
"Mar 19, 2018",5312.23,273.60,568650000.00
"Mar 16, 2018",5388.74,277.54,570500000.00
"Mar 15, 2018",5379.39,277.06,570900000.00
"Mar 14, 2018",5383.27,277.26,570600000.00
"Mar 13, 2018",5412.75,278.78,570700000.00
"Mar 12, 2018",5447.10,280.55,570350000.00
"Mar 09, 2018",5454.03,280.91,568750000.00
"Mar 08, 2018",5360.73,276.10,570050000.00
"Mar 07, 2018",5335.47,274.80,567300000.00
"Mar 06, 2018",5337.69,274.92,566600000.00
"Mar 05, 2018",5323.36,274.18,566800000.00
"Mar 02, 2018",5265.24,271.19,566400000.00
"Mar 01, 2018",5238.18,269.80,566050000.00
"Feb 28, 2018",5308.09,273.40,565250000.00
"Feb 27, 2018",5367.09,276.44,563550000.00
"Feb 26, 2018",5435.38,279.96,563200000.00
"Feb 23, 2018",5371.56,276.67,562450000.00
"Feb 22, 2018",5286.50,272.29,561200000.00
"Feb 21, 2018",5280.91,272.00,560350000.00
"Feb 20, 2018",5309.99,273.50,560200000.00
"Feb 16, 2018",5340.82,275.09,561100000.00
"Feb 15, 2018",5338.35,274.96,561100000.00
"Feb 14, 2018",5273.43,271.61,561550000.00
"Feb 13, 2018",5202.22,267.95,559950000.00
"Feb 12, 2018",5188.37,267.23,558800000.00
"Feb 09, 2018",5116.99,263.56,557900000.00
"Feb 08, 2018",5040.06,259.60,559050000.00
"Feb 07, 2018",5235.84,269.68,559450000.00
"Feb 06, 2018",5262.02,271.03,558450000.00
"Feb 05, 2018",5171.26,266.34,556450000.00
"Feb 02, 2018",5392.21,277.73,553900000.00
"Feb 01, 2018",5508.70,283.74,552300000.00
"Jan 31, 2018",5511.21,283.87,549650000.00
"Jan 30, 2018",5508.36,283.72,548850000.00
"Jan 29, 2018",5568.67,286.83,547500000.00
"Jan 26, 2018",5606.08,288.75,539900000.00
"Jan 25, 2018",5540.38,285.37,540000000.00
"Jan 24, 2018",5537.03,285.20,539200000.00
"Jan 23, 2018",5540.13,285.36,539100000.00
"Jan 22, 2018",5527.89,284.73,539100000.00
"Jan 19, 2018",5483.57,282.45,539400000.00
"Jan 18, 2018",5459.50,281.20,539800000.00
"Jan 17, 2018",5467.85,281.64,539650000.00
"Jan 16, 2018",5416.86,279.01,539800000.00
"Jan 12, 2018",5435.92,279.99,539450000.00
"Jan 11, 2018",5399.46,278.12,539400000.00
"Jan 10, 2018",5361.33,276.15,538750000.00
"Jan 09, 2018",5367.26,276.46,530550000.00
"Jan 08, 2018",5358.68,276.01,530550000.00
"Jan 05, 2018",5349.69,275.55,530600000.00
"Jan 04, 2018",5312.33,273.63,530850000.00
"Jan 03, 2018",5289.92,272.48,529400000.00
"Jan 02, 2018",5256.28,270.74,526800000.00
"Dec 29, 2017",5212.76,268.50,526950000.00
"Dec 28, 2017",5239.59,269.88,526900000.00
"Dec 27, 2017",5229.01,269.34,526900000.00
"Dec 26, 2017",5224.51,269.11,527300000.00
"Dec 22, 2017",5229.79,269.38,525850000.00
"Dec 21, 2017",5232.16,269.50,525550000.00
"Dec 20, 2017",5221.79,268.97,527000000.00
"Dec 19, 2017",5225.43,269.16,526550000.00
"Dec 18, 2017",5242.28,271.30,533200000.00
"Dec 15, 2017",5214.10,269.85,536200000.00
"Dec 14, 2017",5167.45,267.43,532200000.00
